states,words,logit_seq,reset_bool,ind_seq
"[[-0.27547973  0.02044158 -0.33178425 -0.8346784   0.01028652  0.8736447
   0.47567573  0.42985773  0.596297   -0.56241846]]",0,[[ 6.3794937 -6.115979 ]],0,0
"[[-0.32746902  0.01952371 -0.49075496 -0.7751048   0.00846258  0.8308307
   0.4082473   0.34346032  0.44892988 -0.5223675 ]]",0,[[ 5.642844 -5.973323]],0,0
"[[-0.40280244  0.02667955 -0.13397783 -0.60881203  0.07926248  0.93527156
   0.39714658  0.2890825   0.49063608 -0.6462395 ]]",1,[[ 5.257205  -4.9853754]],0,1
"[[-0.08681328  0.02745282  0.30345398  0.1326458   0.27022144 -0.04733381
   0.03748119  0.10502481  0.0311626  -0.06443629]]",1,[[-0.11094188  0.87095815]],1,0
"[[-0.1530743   0.0717822   0.4120959   0.2749764   0.42735574 -0.22531807
   0.09956518  0.14887014  0.09432714  0.28757444]]",1,[[0.03481893 1.7228767 ]],0,0
"[[-0.04336678  0.29880083  0.22485463  0.4491109  -0.32188338  0.20742254
  -0.1343057   0.22782531 -0.2612691   0.20209444]]",0,[[-1.9433639  3.0938554]],0,0
"[[ 0.30465385  0.41324517 -0.14947024  0.6580802  -0.40107936  0.00976179
  -0.08583233 -0.12004879 -0.35159627 -0.46580794]]",0,[[-3.3386073  2.668716 ]],0,0
"[[ 0.5346433   0.4692293   0.02840145  0.7244374  -0.260014   -0.02889162
  -0.03136706 -0.66951966 -0.15084083  0.0946601 ]]",0,[[-3.2361343  4.3837094]],0,0
"[[ 0.5334632   0.23128743  0.630261    0.6398497   0.2791725  -0.2609974
   0.01217352 -0.7262921  -0.34105527  0.24354516]]",1,[[-3.7442822  5.8218956]],0,0
"[[ 0.17072906 -0.27419057  0.6375754   0.6322306   0.48601848 -0.43081927
   0.3328373   0.14479211 -0.33623904  0.6069077 ]]",1,[[-1.4179692  3.697071 ]],0,0
"[[-0.11850055 -0.51686925  0.35964924  0.4139294   0.21433792 -0.0892486
   0.5969857   0.08900716  0.07323275 -0.3639753 ]]",1,[[ 0.6906043 -0.7844274]],0,0
"[[-0.18985109 -0.46688113  0.357694    0.39042124  0.38377827  0.32338303
   0.68606526  0.25613558  0.65417945 -0.23373766]]",1,[[ 3.9909744 -2.3186936]],0,0
"[[-0.2916343  -0.34303427  0.31753737 -0.1586904   0.3045991   0.66614294
   0.7184479   0.3209304   0.89194626 -0.5296356 ]]",1,[[ 6.102166 -4.489518]],0,0
"[[-0.20803694 -0.19756082  0.18840754 -0.67296624 -0.04159876  0.8533516
   0.688891    0.5528236   0.90781003 -0.52088   ]]",0,[[ 7.1821003 -5.587105 ]],0,0
"[[-0.31241268 -0.12515518 -0.04450097 -0.78065795 -0.0326218   0.8842603
   0.64642924  0.60595804  0.8440804  -0.6199132 ]]",0,[[ 7.361656  -6.4498034]],0,0
