states,words,logit_seq,reset_bool,ind_seq,state_list_sm
[ 0.78070086 -0.13597812],1,[-3.5798113  4.4448137],0,0,[0.0003272 0.9996728]
[0.87914145 0.03379335],1,[-3.4398637  4.5389376],0,0,[0.00034253 0.99965747]
[0.87162113 0.28048548],1,[-2.6290836  3.8839252],0,0,[0.00148181 0.99851819]
[ 0.7582445  -0.40767747],0,[-4.348768  5.004574],0,0,[0.00008667 0.99991333]
[ 0.8905076  -0.24846461],1,[-4.378676   5.3029065],0,0,[0.00006242 0.99993758]
[ 0.9427462  -0.46370044],0,[-5.27035    6.1146054],0,0,[0.00001137 0.99998863]
[ 0.9554189 -0.2570759],1,[-4.667794   5.6657476],0,0,[0.00003252 0.99996748]
[ 0.9628683  -0.04379117],1,[-4.023096   5.1728053],0,0,[0.00010144 0.99989856]
[ 0.97829676 -0.49622387],0,[-5.5166655  6.382701 ],0,0,[0.00000679 0.99999321]
[ 0.9701157  -0.27434707],1,[-4.781726  5.786125],0,0,[0.00002573 0.99997427]
[ 0.9877195  -0.48917148],0,[-5.532369   6.4146585],0,0,[0.00000648 0.99999352]
[ 0.98951674 -0.47074202],0,[-5.481316  6.378131],0,0,[0.00000707 0.99999293]
[ 0.97646576 -0.25074306],1,[-4.7326703  5.7606297],0,1,[0.00002772 0.99997228]
[0.3848231  0.03470497],1,[-1.4427215  1.9371316],1,0,[0.03293107 0.96706893]
[0.61185884 0.1284489 ],1,[-2.0620952  2.897193 ],0,0,[0.00696901 0.99303099]
[0.63154393 0.30063558],1,[-1.5967786  2.5711303],0,0,[0.01524849 0.98475151]
[0.3012554 0.5119763],1,[0.40432632 0.3069346 ],0,0,[0.5243287 0.4756713]
[-0.3765137   0.64421976],1,[ 3.5570588 -3.587262 ],0,0,[0.99921129 0.00078871]
[-0.7226706  0.6531358],1,[ 4.981787  -5.4298835],0,0,[0.99996992 0.00003008]
[-0.8307218  0.637451 ],1,[ 5.368084 -5.958974],0,0,[0.99998796 0.00001204]
[-0.9234128  0.5780815],0,[ 5.5542107 -6.2983   ],0,0,[0.99999288 0.00000712]
[-0.8809278  0.5544733],1,[ 5.308123 -6.01598 ],0,0,[0.99998792 0.00001208]
[-0.89212716  0.56177354],1,[ 5.3764005 -6.093088 ],0,0,[0.99998956 0.00001044]
[-0.95831937  0.52284443],0,[ 5.5202866 -6.344058 ],0,0,[0.99999296 0.00000704]
[-0.89432216  0.5014483 ],1,[ 5.19441  -5.954128],0,0,[0.9999856 0.0000144]
[-0.9629908  0.4693362],0,[ 5.3698535 -6.235129 ],0,0,[0.99999088 0.00000912]
[-0.9621688   0.41527724],0,[ 5.195515 -6.095936],0,0,[0.99998752 0.00001248]
[-0.89489603  0.40004998],1,[ 4.8759394 -5.70417  ],0,1,[0.99997458 0.00002542]
[ 0.13206244 -0.11918972],0,[-0.90985847  0.9918554 ],1,0,[0.12991462 0.87008538]
[ 0.5711784  -0.07331466],1,[-2.536279   3.1866353],0,0,[0.00325951 0.99674049]
[ 0.712771  -0.3342938],0,[-3.9331536  4.5823545],0,0,[0.0002003 0.9997997]
[ 0.87267125 -0.19415185],1,[-4.134893   5.0736055],0,0,[0.00010017 0.99989983]
[ 0.9224946  -0.00231711],1,[-3.7290056  4.8570147],0,0,[0.00018666 0.99981334]
[ 0.94327176 -0.47827125],0,[-5.318567   6.1537213],0,0,[0.00001041 0.99998959]
[ 0.96399754 -0.4599903 ],0,[-5.344348  6.217106],0,0,[0.00000953 0.99999047]
[ 0.97627074 -0.46870306],0,[-5.4214263  6.3033857],0,0,[0.00000809 0.99999191]
[ 0.9695041  -0.25286928],1,[-4.7113113  5.7293243],0,0,[0.00002922 0.99997078]
[ 0.98716164 -0.4906711 ],0,[-5.5348625  6.4154663],0,0,[0.00000646 0.99999354]
[ 0.98915094 -0.47035947],0,[-5.47863   6.375253],0,0,[0.00000711 0.99999289]
